feature,importance_mean_auc_drop,importance_std
mean,0.008128645132346415,0.0014981629775758982
abs_mean,0.0018141543292957002,0.0006552251713651977
rms,0.0008009944668761065,0.00032462215625268445
energy,0.0006794900553313138,0.0003458644518044817
skew,0.00025328996560497474,0.00011586259193720528
minimum,0.00012430835950355545,0.00013286164182042386
kurtosis,0.00011309256766868503,2.9064438099039737e-05
ptp,0.0001037460744729296,0.00013456029105763796
slope,8.411843876182656e-05,2.235356053366682e-05
diff_std,8.037984148355493e-05,0.00017760304645708533
std,7.009869896820731e-05,0.00011014198823127866
maximum,6.542545237031572e-05,0.00012627108848357936
line_length,5.888290713333688e-05,0.00014620915011756327
max_abs_diff,5.4209660535431414e-05,0.0001700445397661117
band_10_40_hz,4.299386870056099e-05,0.00019284603805364375
band_alpha_8_13_hz,2.9908778226478416e-05,2.114869990089348e-05
variance,2.8974128906858465e-05,0.00010377133219070442
spectral_entropy,1.6823687752395844e-05,6.363856935303677e-05
zero_crossing_rate,9.346493195810934e-06,0.00010120141830147082
band_delta_0p5_4_hz,0.0,0.0
band_beta_13_30_hz,-1.1215791834828792e-05,9.465372290392898e-05
band_gamma_30_80_hz,-1.682368775228482e-05,8.931648957230183e-05
high_to_low_power_ratio,-2.5235531628461927e-05,0.00012183109962462435
band_theta_4_8_hz,-8.785703604000106e-05,8.35766745405596e-05
dominant_freq_hz,-9.813817855536255e-05,5.25319481695777e-05
