seed,duration_s,artifact_count,threshold,false_alarm_events,false_alarms_per_hour,positive_windows
42,60.0,6,0.0,1,60.0,1191
42,60.0,6,0.02,26,1560.0,752
42,60.0,6,0.04,42,2520.0,520
42,60.0,6,0.06,48,2880.0,363
42,60.0,6,0.08,48,2880.0,281
42,60.0,6,0.1,48,2880.0,218
42,60.0,6,0.12,44,2640.0,170
42,60.0,6,0.14,34,2040.0,126
42,60.0,6,0.140717,34,2040.0,125
42,60.0,6,0.16,29,1740.0,104
42,60.0,6,0.18,24,1440.0,85
42,60.0,6,0.2,22,1320.0,77
42,60.0,6,0.22,19,1140.0,64
42,60.0,6,0.24,16,960.0,55
42,60.0,6,0.26,13,780.0,48
42,60.0,6,0.28,10,600.0,39
42,60.0,6,0.3,9,540.0,35
42,60.0,6,0.32,9,540.0,31
42,60.0,6,0.34,9,540.0,25
42,60.0,6,0.36,6,360.0,16
42,60.0,6,0.38,6,360.0,13
42,60.0,6,0.4,5,300.0,11
42,60.0,6,0.42,5,300.0,10
42,60.0,6,0.44,4,240.0,6
42,60.0,6,0.46,3,180.0,3
42,60.0,6,0.48,1,60.0,1
42,60.0,6,0.5,1,60.0,1
42,60.0,6,0.52,1,60.0,1
42,60.0,6,0.54,1,60.0,1
42,60.0,6,0.56,0,0.0,0
42,60.0,6,0.58,0,0.0,0
42,60.0,6,0.6,0,0.0,0
42,60.0,6,0.62,0,0.0,0
42,60.0,6,0.64,0,0.0,0
42,60.0,6,0.66,0,0.0,0
42,60.0,6,0.68,0,0.0,0
42,60.0,6,0.7,0,0.0,0
42,60.0,6,0.72,0,0.0,0
42,60.0,6,0.74,0,0.0,0
42,60.0,6,0.76,0,0.0,0
42,60.0,6,0.78,0,0.0,0
42,60.0,6,0.8,0,0.0,0
42,60.0,6,0.82,0,0.0,0
42,60.0,6,0.84,0,0.0,0
42,60.0,6,0.86,0,0.0,0
42,60.0,6,0.88,0,0.0,0
42,60.0,6,0.9,0,0.0,0
42,60.0,6,0.92,0,0.0,0
42,60.0,6,0.94,0,0.0,0
42,60.0,6,0.96,0,0.0,0
42,60.0,6,0.98,0,0.0,0
42,60.0,6,1.0,0,0.0,0
43,60.0,11,0.0,1,60.0,1191
43,60.0,11,0.02,20,1200.0,847
43,60.0,11,0.04,46,2760.0,639
43,60.0,11,0.06,46,2760.0,507
43,60.0,11,0.08,52,3120.0,416
43,60.0,11,0.1,55,3300.0,361
43,60.0,11,0.12,54,3240.0,316
43,60.0,11,0.14,51,3060.0,262
43,60.0,11,0.140717,51,3060.0,260
43,60.0,11,0.16,49,2940.0,220
43,60.0,11,0.18,47,2820.0,180
43,60.0,11,0.2,42,2520.0,149
43,60.0,11,0.22,38,2280.0,123
43,60.0,11,0.24,36,2160.0,95
43,60.0,11,0.26,29,1740.0,79
43,60.0,11,0.28,23,1380.0,62
43,60.0,11,0.3,21,1260.0,54
43,60.0,11,0.32,15,900.0,39
43,60.0,11,0.34,13,780.0,36
43,60.0,11,0.36,11,660.0,28
43,60.0,11,0.38,10,600.0,26
43,60.0,11,0.4,7,420.0,21
43,60.0,11,0.42,5,300.0,14
43,60.0,11,0.44,5,300.0,13
43,60.0,11,0.46,5,300.0,12
43,60.0,11,0.48,5,300.0,9
43,60.0,11,0.5,4,240.0,8
43,60.0,11,0.52,3,180.0,7
43,60.0,11,0.54,3,180.0,6
43,60.0,11,0.56,2,120.0,4
43,60.0,11,0.58,2,120.0,3
43,60.0,11,0.6,2,120.0,3
43,60.0,11,0.62,2,120.0,3
43,60.0,11,0.64,2,120.0,2
43,60.0,11,0.66,2,120.0,2
43,60.0,11,0.68,1,60.0,1
43,60.0,11,0.7,1,60.0,1
43,60.0,11,0.72,1,60.0,1
43,60.0,11,0.74,1,60.0,1
43,60.0,11,0.76,1,60.0,1
43,60.0,11,0.78,1,60.0,1
43,60.0,11,0.8,1,60.0,1
43,60.0,11,0.82,0,0.0,0
43,60.0,11,0.84,0,0.0,0
43,60.0,11,0.86,0,0.0,0
43,60.0,11,0.88,0,0.0,0
43,60.0,11,0.9,0,0.0,0
43,60.0,11,0.92,0,0.0,0
43,60.0,11,0.94,0,0.0,0
43,60.0,11,0.96,0,0.0,0
43,60.0,11,0.98,0,0.0,0
43,60.0,11,1.0,0,0.0,0
44,60.0,8,0.0,1,60.0,1191
